BUS_SERVICE_NAME_TXT,OPR_DESC_TXT,ORIG_DEST_TXT,BUS_DIRCTN_TXT,BUS_ROUTE_SEQ_NUM,BUS_STOP_CD,BUS_STOP_DESC_TXT,RD_NAM_TXT,LONGTD_TXT,LATTD_TXT,OP_HR_TXT,FARE_TXT,CONTACT_TXT
PBS between Tanjong Rhu and Suntec/ Raffles Place,ComfortDelGro Bus Pte Ltd,Rhu Cross/ Tanjong Rhu Road - Suntec City/ Raffles Place ,1,10,2151,Suntec Convention Centre,Temasek Boulevard,103.8578462,1.293177763,Six trips from 8.00am to 9.40am / 20 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS between Tanjong Rhu and Suntec/ Raffles Place,ComfortDelGro Bus Pte Ltd,Rhu Cross/ Tanjong Rhu Road - Suntec City/ Raffles Place ,2,1,3111,Aft Capital Tower,Robinson Road,103.8481012,1.277825954,Seven trips from 6.00pm to 8.00pm / 20 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS between Tanjong Rhu and Suntec/ Raffles Place,ComfortDelGro Bus Pte Ltd,Rhu Cross/ Tanjong Rhu Road - Suntec City/ Raffles Place ,2,2,-,Outside GMG Building,Robinson Road,103.84915,1.279450000,Seven trips from 6.00pm to 8.00pm / 20 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS between Tanjong Rhu and Suntec/ Raffles Place,ComfortDelGro Bus Pte Ltd,Rhu Cross/ Tanjong Rhu Road - Suntec City/ Raffles Place ,2,3,3011,Fullerton Square,Fullerton Road,103.853336,1.285597589,Seven trips from 6.00pm to 8.00pm / 20 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS between Tanjong Rhu and Suntec/ Raffles Place,ComfortDelGro Bus Pte Ltd,Rhu Cross/ Tanjong Rhu Road - Suntec City/ Raffles Place ,2,4,2151,Suntec Convention Centre,Temasek Boulevard,103.8578462,1.293177763,Seven trips from 6.00pm to 8.00pm / 20 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS between Tanjong Rhu and Suntec/ Raffles Place,ComfortDelGro Bus Pte Ltd,Rhu Cross/ Tanjong Rhu Road - Suntec City/ Raffles Place ,2,5,-,Outside The Waterside Condo,Tanjong Rhu Road,103.88352,1.298030000,Seven trips from 6.00pm to 8.00pm / 20 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS between Tanjong Rhu and Suntec/ Raffles Place,ComfortDelGro Bus Pte Ltd,Rhu Cross/ Tanjong Rhu Road - Suntec City/ Raffles Place ,2,6,-,Outside Camelot Condo,Tanjong Rhu Road,103.87545,1.297280000,Seven trips from 6.00pm to 8.00pm / 20 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS between Tanjong Rhu and Suntec/ Raffles Place,ComfortDelGro Bus Pte Ltd,Rhu Cross/ Tanjong Rhu Road - Suntec City/ Raffles Place ,2,7,-,Opposite Pebble Bay Condo,Tanjong Rhu Road,103.87122,1.297090000,Seven trips from 6.00pm to 8.00pm / 20 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS between Tanjong Rhu and Suntec/ Raffles Place,ComfortDelGro Bus Pte Ltd,Rhu Cross/ Tanjong Rhu Road - Suntec City/ Raffles Place ,2,8,-,Outside Park Shore Condo,Tanjong Rhu Road,103.87034,1.297060000,Seven trips from 6.00pm to 8.00pm / 20 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS between Tanjong Rhu and Suntec/ Raffles Place,ComfortDelGro Bus Pte Ltd,Rhu Cross/ Tanjong Rhu Road - Suntec City/ Raffles Place ,2,9,-,Outside Costa Rhu Condo,Rhu Cross,103.86759,1.296640000,Seven trips from 6.00pm to 8.00pm / 20 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS from The Gardens at Bishan to Bishan MRT Station (loop),The Management Corporation Strata Title Plan No. 2917,Sin Ming Walk - Bishan Street 22,1,1,-,The Gardens at Bishan driveway in front of Blk 5 Clubhouse,Sin Ming Walk,103.83119,1.365130000,"From 6.30am to 8.10pm / AM peak: 30min; PM peak: 35min; Off-peak: 40min (Mon to Fri)

From 7.30am to 9.10pm / AM peak: 20min; PM peak: 25min; Off-peak: 50 min (Sat, Sunday and Public Holidays)


","$1.20
FOC for children",Nil
PBS from The Gardens at Bishan to Bishan MRT Station (loop),The Management Corporation Strata Title Plan No. 2917,Sin Ming Walk - Bishan Street 22,1,2,53389,Opp Bishan North Shopping Mall,Bishan Street 22,103.8451693,1.358044737,"From 6.30am to 8.10pm / AM peak: 30min; PM peak: 35min; Off-peak: 40min (Mon to Fri)

From 7.30am to 9.10pm / AM peak: 20min; PM peak: 25min; Off-peak: 50 min (Sat, Sunday and Public Holidays)


","$1.20
FOC for children",Nil
PBS from The Gardens at Bishan to Bishan MRT Station (loop),The Management Corporation Strata Title Plan No. 2917,Sin Ming Walk - Bishan Street 22,1,3,-,Passenger drop-off point outside Bishan MRT,Bishan Road,103.8479219,1.350850000,"From 6.30am to 8.10pm / AM peak: 30min; PM peak: 35min; Off-peak: 40min (Mon to Fri)

From 7.30am to 9.10pm / AM peak: 20min; PM peak: 25min; Off-peak: 50 min (Sat, Sunday and Public Holidays)


","$1.20
FOC for children",Nil
PBS from The Gardens at Bishan to Bishan MRT Station (loop),The Management Corporation Strata Title Plan No. 2917,Sin Ming Walk - Bishan Street 22,1,4,53381,Bishan North Shopping Mall,Bishan Street 22,103.8449621,1.358304328,"From 6.30am to 8.10pm / AM peak: 30min; PM peak: 35min; Off-peak: 40min (Mon to Fri)

From 7.30am to 9.10pm / AM peak: 20min; PM peak: 25min; Off-peak: 50 min (Sat, Sunday and Public Holidays)


","$1.20
FOC for children",Nil
PBS from The Gardens at Bishan to Bishan MRT Station (loop),The Management Corporation Strata Title Plan No. 2917,Sin Ming Walk - Bishan Street 22,1,5,-,The Gardens at Bishan driveway in front of Blk 5 Clubhouse,Sin Ming Walk,103.83119,1.365130000,"From 6.30am to 8.10pm / AM peak: 30min; PM peak: 35min; Off-peak: 40min (Mon to Fri)

From 7.30am to 9.10pm / AM peak: 20min; PM peak: 25min; Off-peak: 50 min (Sat, Sunday and Public Holidays)


","$1.20
FOC for children",Nil
PBS 522,ComfortDelGro Bus Pte Ltd,Flora Road to Nicoll Highway,1,1,-,Outside Avila Gardens/ Estella Gardens Condo,Flora Road,103.965681,1.359868000,Two trips at 7.45am and 8.00am / 15 min,$5.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 522,ComfortDelGro Bus Pte Ltd,Flora Road to Nicoll Highway,1,2,-,Outside Dahlia Park/ Carissa Park Condo,Flora Drive,103.964945,1.359223000,Two trips at 7.45am and 8.00am / 15 min,$5.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 522,ComfortDelGro Bus Pte Ltd,Flora Road to Nicoll Highway,1,3,-,Outside Azalea Condo,Flora Road,103.963678,1.360621000,Two trips at 7.45am and 8.00am / 15 min,$5.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 522,ComfortDelGro Bus Pte Ltd,Flora Road to Nicoll Highway,1,4,98081,Aft Jalan Batalong,Old Tampines Road,103.9645309,1.361899745,Two trips at 7.45am and 8.00am / 15 min,$5.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 522,ComfortDelGro Bus Pte Ltd,Flora Road to Nicoll Highway,1,5,-,Outside Ballota Park,Mariam Way,103.966668,1.362115000,Two trips at 7.45am and 8.00am / 15 min,$5.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 522,ComfortDelGro Bus Pte Ltd,Flora Road to Nicoll Highway,1,6,97049,Changi Prison,Upper Changi Road North,103.9697388,1.358179037,Two trips at 7.45am and 8.00am / 15 min,$5.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 522,ComfortDelGro Bus Pte Ltd,Flora Road to Nicoll Highway,1,7,96069,Mera Terrace Playground,Upper Changi Road East,103.9631124,1.346650009,Two trips at 7.45am and 8.00am / 15 min,$5.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 522,ComfortDelGro Bus Pte Ltd,Flora Road to Nicoll Highway,1,8,96059,Changi Court,Upper Changi Road East,103.9621794,1.343512801,Two trips at 7.45am and 8.00am / 15 min,$5.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 522,ComfortDelGro Bus Pte Ltd,Flora Road to Nicoll Highway,1,9,3223,International Plaza,Anson Road,103.8463247,1.275703395,Two trips at 7.45am and 8.00am / 15 min,$5.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 522,ComfortDelGro Bus Pte Ltd,Flora Road to Nicoll Highway,1,10,3111,Aft Capital Tower,Robinson Road,103.8481012,1.277825954,Two trips at 7.45am and 8.00am / 15 min,$5.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 522,ComfortDelGro Bus Pte Ltd,Flora Road to Nicoll Highway,1,11,3071,Opp So Sofitel Singapore,Robinson Road,103.8493803,1.279921325,Two trips at 7.45am and 8.00am / 15 min,$5.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 522,ComfortDelGro Bus Pte Ltd,Flora Road to Nicoll Highway,1,12,-,Outside Capitagreen,Robinson Road,103.850594,1.281504000,Two trips at 7.45am and 8.00am / 15 min,$5.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 522,ComfortDelGro Bus Pte Ltd,Flora Road to Nicoll Highway,1,13,3011,Fullerton Square,Fullerton Road,103.853336,1.285597589,Two trips at 7.45am and 8.00am / 15 min,$5.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 522,ComfortDelGro Bus Pte Ltd,Flora Road to Nicoll Highway,1,14,80151,Opp Suntec City,Nicoll Highway,103.8575904,1.295947793,Two trips at 7.45am and 8.00am / 15 min,$5.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 523,ComfortDelGro Bus Pte Ltd,Bedok Reservoir View to Nicoll Highway,1,1,-,Outside Aquarius By The Park Condo,Bedok Reservoir View,103.93532,1.337519000,Two trips at 7.45am and 8.00am / 15 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 523,ComfortDelGro Bus Pte Ltd,Bedok Reservoir View to Nicoll Highway,1,2,-,Outside Longvale HDB Estate Roundabout,Bedok Reservoir View,103.934873,1.337751000,Two trips at 7.45am and 8.00am / 15 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 523,ComfortDelGro Bus Pte Ltd,Bedok Reservoir View to Nicoll Highway,1,3,-,Outside The Clearwater Condo,Bedok Reservoir View,103.934873,1.337751000,Two trips at 7.45am and 8.00am / 15 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 523,ComfortDelGro Bus Pte Ltd,Bedok Reservoir View to Nicoll Highway,1,4,75349,The Clearwater Condo,Bedok Reservoir Road,103.9339578,1.338118249,Two trips at 7.45am and 8.00am / 15 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 523,ComfortDelGro Bus Pte Ltd,Bedok Reservoir View to Nicoll Highway,1,5,84609,Waterfront Key,Bedok Reservoir Road,103.9313081,1.337911389,Two trips at 7.45am and 8.00am / 15 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 523,ComfortDelGro Bus Pte Ltd,Bedok Reservoir View to Nicoll Highway,1,6,84639,Aft Waterfront Waves,Bedok Reservoir Road,103.9293772,1.338571398,Two trips at 7.45am and 8.00am / 15 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 523,ComfortDelGro Bus Pte Ltd,Bedok Reservoir View to Nicoll Highway,1,7,84619,Waterfront Isle,Bedok Reservoir Road,103.9279548,1.339224698,Two trips at 7.45am and 8.00am / 15 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 523,ComfortDelGro Bus Pte Ltd,Bedok Reservoir View to Nicoll Highway,1,8,84629,Blk 716,Bedok Reservoir Road,103.9253787,1.338157493,Two trips at 7.45am and 8.00am / 15 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 523,ComfortDelGro Bus Pte Ltd,Bedok Reservoir View to Nicoll Highway,1,9,84479,Blk 713,Bedok Reservoir Road,103.9225316,1.337421064,Two trips at 7.45am and 8.00am / 15 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 523,ComfortDelGro Bus Pte Ltd,Bedok Reservoir View to Nicoll Highway,1,10,84469,Blk 703,Bedok Reservoir Road,103.9197283,1.337515292,Two trips at 7.45am and 8.00am / 15 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 523,ComfortDelGro Bus Pte Ltd,Bedok Reservoir View to Nicoll Highway,1,11,84459,Bet Blk 705/ 706,Bedok North Road,103.9183086,1.336424722,Two trips at 7.45am and 8.00am / 15 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 523,ComfortDelGro Bus Pte Ltd,Bedok Reservoir View to Nicoll Highway,1,12,3223,International Plaza,Anson Road,103.8463247,1.275703395,Two trips at 7.45am and 8.00am / 15 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 523,ComfortDelGro Bus Pte Ltd,Bedok Reservoir View to Nicoll Highway,1,13,3111,Aft Capital Tower,Robinson Road,103.8481012,1.277825954,Two trips at 7.45am and 8.00am / 15 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 523,ComfortDelGro Bus Pte Ltd,Bedok Reservoir View to Nicoll Highway,1,14,3071,Opp So Sofitel Singapore,Robinson Road,103.8493803,1.279921325,Two trips at 7.45am and 8.00am / 15 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 523,ComfortDelGro Bus Pte Ltd,Bedok Reservoir View to Nicoll Highway,1,15,-,Outside Capitagreen,Robinson Road,103.850594,1.281504000,Two trips at 7.45am and 8.00am / 15 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 523,ComfortDelGro Bus Pte Ltd,Bedok Reservoir View to Nicoll Highway,1,16,3011,Fullerton Square,Fullerton Road,103.853336,1.285597589,Two trips at 7.45am and 8.00am / 15 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 523,ComfortDelGro Bus Pte Ltd,Bedok Reservoir View to Nicoll Highway,1,17,80151,Opp Suntec City,Nicoll Highway,103.8575904,1.295947793,Two trips at 7.45am and 8.00am / 15 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 526 ,ComfortDelGro Bus Pte Ltd,Hougang Avenue 1 to Upper Cross Street,1,1,63261,Opp Blk 232,Hougang Avenue 1,103.8891383,1.358964722,One trip at 8.00am,$4.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 526 ,ComfortDelGro Bus Pte Ltd,Hougang Avenue 1 to Upper Cross Street,1,2,63271,Blk 239,Hougang Avenue 1,103.8899763,1.356395013,One trip at 8.00am,$4.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 526 ,ComfortDelGro Bus Pte Ltd,Hougang Avenue 1 to Upper Cross Street,1,3,63281,Blk 105 Market/Food Centre,Hougang Avenue 1,103.8898808,1.354129722,One trip at 8.00am,$4.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 526 ,ComfortDelGro Bus Pte Ltd,Hougang Avenue 1 to Upper Cross Street,1,4,63291,Opp Blk 115,Lorong Ah Soo,103.887858,1.352250023,One trip at 8.00am,$4.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 526 ,ComfortDelGro Bus Pte Ltd,Hougang Avenue 1 to Upper Cross Street,1,5,63301,Paya Lebar Girls' School,Lorong Ah Soo,103.885312,1.351494732,One trip at 8.00am,$4.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 526 ,ComfortDelGro Bus Pte Ltd,Hougang Avenue 1 to Upper Cross Street,1,6,62221,Opp The Minton,Lorong Ah Soo,103.8825534,1.350901402,One trip at 8.00am,$4.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 526 ,ComfortDelGro Bus Pte Ltd,Hougang Avenue 1 to Upper Cross Street,1,7,62049,Aft Paya Lebar Crescent,Upper Paya Lebar Road,103.8802275,1.349040000,One trip at 8.00am,$4.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 526 ,ComfortDelGro Bus Pte Ltd,Hougang Avenue 1 to Upper Cross Street,1,8,62039,Raya Garden,Upper Paya Lebar Road,103.880912,1.346768051,One trip at 8.00am,$4.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 526 ,ComfortDelGro Bus Pte Ltd,Hougang Avenue 1 to Upper Cross Street,1,9,80159,Suntec City,Nicoll Highway,103.8579517,1.295962317,One trip at 8.00am,$4.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 526 ,ComfortDelGro Bus Pte Ltd,Hougang Avenue 1 to Upper Cross Street,1,10,2119,One Raffles Link,Nicoll Highway,103.8553433,1.291844074,One trip at 8.00am,$4.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 526 ,ComfortDelGro Bus Pte Ltd,Hougang Avenue 1 to Upper Cross Street,1,11,3019,OUE Bayfront,Collyer Quay,103.8531081,1.284245000,One trip at 8.00am,$4.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 526 ,ComfortDelGro Bus Pte Ltd,Hougang Avenue 1 to Upper Cross Street,1,12,3129,UIC Building,Shenton Way,103.8495672,1.278070035,One trip at 8.00am,$4.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 526 ,ComfortDelGro Bus Pte Ltd,Hougang Avenue 1 to Upper Cross Street,1,13,3218,Opp MAS Building,Shenton Way,103.8468781,1.274116652,One trip at 8.00am,$4.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS 526 ,ComfortDelGro Bus Pte Ltd,Hougang Avenue 1 to Upper Cross Street,1,14,3223,International Plaza,Anson Road,103.8463247,1.275703395,One trip at 8.00am,$4.50,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
